time,asset,scope,active_power,active_energy
2021-08-16 20:30:15+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,,
2021-08-16 20:45:15+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,,
2021-08-16 21:00:12+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,,
2021-08-16 21:15:10+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,,
2021-08-16 21:30:10+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,,
2021-08-16 21:45:15+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,,
2021-08-16 22:00:15+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,,
2021-08-16 22:15:12+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,,
2021-08-16 22:30:12+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,57.2,120226000.0
2021-08-16 22:45:10+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,1151.84,120226000.0
